customer_id,customer_name,email,created_at
1,John Doe,john.doe@example.com,2023-01-15
2,Jane Smith,jane.smith@example.com,2023-02-20
3,Bob Johnson,bob.johnson@example.com,2023-03-10
4,Alice Williams,alice.williams@example.com,2023-04-05
5,Charlie Brown,charlie.brown@example.com,2023-05-12
6,Diana Prince,diana.prince@example.com,2023-06-18
7,Ethan Hunt,ethan.hunt@example.com,2023-07-22
8,Fiona Green,fiona.green@example.com,2023-08-30
9,George Miller,george.miller@example.com,2023-09-14
10,Hannah Montana,hannah.montana@example.com,2023-10-01
